timestamp,heart_rate,hrv
2026-09-21T09:52:00,69.3,65.6
2026-09-21T09:53:00,68.8,64.7
2026-09-21T09:54:00,69.9,66.8
2026-09-21T09:55:00,71.1,64.1
2026-09-21T09:56:00,70.0,63.7
2026-09-21T09:57:00,71.2,66.5
2026-09-21T09:58:00,69.4,65.6
2026-09-21T09:59:00,70.3,63.6
2026-09-21T10:00:00,70.8,65.2
2026-09-21T10:01:00,70.8,65.1
2026-09-21T10:02:00,68.5,64.3
2026-09-21T10:03:00,68.6,66.7
2026-09-21T10:04:00,71.1,66.3
2026-09-21T10:05:00,69.4,63.2
2026-09-21T10:06:00,71.1,66.8
2026-09-21T10:07:00,68.8,64.9
2026-09-21T10:08:00,68.7,66.0
2026-09-21T10:09:00,70.8,63.5
2026-09-21T10:10:00,69.9,65.2
2026-09-21T10:11:00,69.3,66.5
2026-09-21T10:12:00,69.8,63.8
2026-09-21T10:13:00,70.1,65.9
2026-09-21T10:14:00,69.1,64.2
2026-09-21T10:15:00,71.5,65.6
2026-09-21T10:16:00,69.8,65.1
2026-09-21T10:17:00,68.9,63.9
2026-09-21T10:18:00,69.5,65.4
2026-09-21T10:19:00,69.2,63.9
2026-09-21T10:20:00,68.7,65.5
2026-09-21T10:21:00,69.2,66.6
2026-09-21T10:22:00,71.1,63.3
2026-09-21T10:23:00,69.2,65.7
2026-09-21T10:24:00,69.1,63.5
2026-09-21T10:25:00,71.3,65.3
2026-09-21T10:26:00,69.9,66.1
2026-09-21T10:27:00,70.9,63.8
2026-09-21T10:28:00,68.8,64.7
2026-09-21T10:29:00,69.8,64.9
2026-09-21T10:30:00,70.7,65.7
2026-09-21T10:31:00,71.5,63.4
2026-09-21T10:32:00,69.7,64.4
2026-09-21T10:33:00,71.1,64.0
2026-09-21T10:34:00,69.1,64.8
2026-09-21T10:35:00,69.8,64.1
2026-09-21T10:36:00,69.2,66.7
2026-09-21T10:37:00,69.8,66.4
2026-09-21T10:38:00,70.2,63.2
2026-09-21T10:39:00,71.5,66.3
2026-09-21T10:40:00,71.4,66.7
2026-09-21T10:41:00,71.0,63.7
2026-09-21T10:42:00,70.0,63.9
2026-09-21T10:43:00,69.7,63.2
2026-09-21T10:44:00,69.6,66.9
2026-09-21T10:45:00,69.3,66.1
2026-09-21T10:46:00,69.9,64.7
2026-09-21T10:47:00,71.4,67.0
2026-09-21T10:48:00,70.2,65.9
2026-09-21T10:49:00,69.0,64.2
2026-09-21T10:50:00,71.4,65.3
2026-09-21T10:51:00,70.1,66.0
2026-09-21T10:52:00,68.7,65.3
2026-09-21T10:53:00,70.0,66.4
2026-09-21T10:54:00,69.0,66.8
2026-09-21T10:55:00,68.7,63.7
2026-09-21T10:56:00,70.3,65.7
2026-09-21T10:57:00,69.2,63.5
2026-09-21T10:58:00,71.2,64.0
2026-09-21T10:59:00,70.3,65.5
2026-09-21T11:00:00,70.1,65.0
2026-09-21T11:01:00,70.8,66.0
2026-09-21T11:02:00,70.2,64.7
2026-09-21T11:03:00,70.7,63.1
2026-09-21T11:04:00,72.3,62.3
2026-09-21T11:05:00,71.6,63.7
2026-09-21T11:06:00,71.2,62.2
2026-09-21T11:07:00,74.4,63.9
2026-09-21T11:08:00,72.0,60.4
2026-09-21T11:09:00,72.9,62.9
2026-09-21T11:10:00,75.1,62.3
2026-09-21T11:11:00,73.9,59.1
2026-09-21T11:12:00,75.7,60.9
2026-09-21T11:13:00,75.4,61.6
2026-09-21T11:14:00,75.9,57.3
2026-09-21T11:15:00,76.7,58.1
2026-09-21T11:16:00,76.6,60.3
2026-09-21T11:17:00,75.4,56.6
2026-09-21T11:18:00,75.7,58.0
2026-09-21T11:19:00,76.5,57.8
2026-09-21T11:20:00,78.2,55.8
2026-09-21T11:21:00,78.3,55.7
2026-09-21T11:22:00,78.2,57.9
2026-09-21T11:23:00,79.7,54.2
2026-09-21T11:24:00,78.8,54.6
2026-09-21T11:25:00,77.9,56.2
2026-09-21T11:26:00,80.1,53.8
2026-09-21T11:27:00,80.8,54.6
2026-09-21T11:28:00,80.2,52.0
2026-09-21T11:29:00,79.5,55.1
2026-09-21T11:30:00,82.4,53.4
2026-09-21T11:31:00,82.5,53.2
2026-09-21T11:32:00,80.8,51.0
2026-09-21T11:33:00,81.7,53.7
2026-09-21T11:34:00,83.5,53.1
2026-09-21T11:35:00,84.2,50.2
2026-09-21T11:36:00,82.6,49.4
2026-09-21T11:37:00,84.5,52.1
2026-09-21T11:38:00,83.8,50.7
2026-09-21T11:39:00,83.4,51.5
2026-09-21T11:40:00,85.9,51.3
2026-09-21T11:41:00,86.1,50.6
2026-09-21T11:42:00,84.1,49.6
2026-09-21T11:43:00,85.3,50.0
2026-09-21T11:44:00,87.1,49.4
2026-09-21T11:45:00,87.5,46.6
2026-09-21T11:46:00,87.8,45.6
2026-09-21T11:47:00,88.4,48.2
2026-09-21T11:48:00,86.8,47.6
2026-09-21T11:49:00,87.9,45.2
2026-09-21T11:50:00,89.2,44.5
2026-09-21T11:51:00,87.3,44.0
2026-09-21T11:52:00,88.6,46.3
2026-09-21T11:53:00,90.8,43.6
2026-09-21T11:54:00,90.2,43.7
2026-09-21T11:55:00,91.6,43.9
2026-09-21T11:56:00,91.8,41.8
2026-09-21T11:57:00,92.3,41.7
2026-09-21T11:58:00,92.6,41.6
2026-09-21T11:59:00,90.4,41.9
2026-09-21T12:00:00,92.6,41.3
2026-09-21T12:01:00,91.2,43.3
2026-09-21T12:02:00,89.5,44.9
2026-09-21T12:03:00,88.0,46.7
2026-09-21T12:04:00,86.1,48.9
2026-09-21T12:05:00,86.6,49.4
2026-09-21T12:06:00,86.1,50.5
2026-09-21T12:07:00,83.9,49.4
2026-09-21T12:08:00,83.7,51.7
2026-09-21T12:09:00,81.5,55.1
2026-09-21T12:10:00,81.7,54.2
2026-09-21T12:11:00,79.3,55.9
2026-09-21T12:12:00,78.5,56.8
2026-09-21T12:13:00,76.6,58.6
2026-09-21T12:14:00,77.9,60.9
2026-09-21T12:15:00,76.7,62.0
2026-09-21T12:16:00,73.8,63.0
2026-09-21T12:17:00,71.8,63.2
2026-09-21T12:18:00,72.0,65.3
2026-09-21T12:19:00,71.6,64.9
2026-09-21T12:20:00,69.8,63.9
2026-09-21T12:21:00,69.9,66.6
2026-09-21T12:22:00,70.9,63.7
2026-09-21T12:23:00,68.8,65.1
2026-09-21T12:24:00,70.4,64.3
2026-09-21T12:25:00,71.0,66.0
2026-09-21T12:26:00,70.5,63.9
2026-09-21T12:27:00,69.1,63.1
2026-09-21T12:28:00,69.2,64.9
2026-09-21T12:29:00,71.0,63.3
2026-09-21T12:30:00,69.7,65.5
2026-09-21T12:31:00,69.1,65.8
2026-09-21T12:32:00,70.0,64.0
2026-09-21T12:33:00,70.5,63.0
2026-09-21T12:34:00,70.8,66.1
2026-09-21T12:35:00,68.8,64.7
2026-09-21T12:36:00,69.0,66.8
2026-09-21T12:37:00,70.1,63.2
2026-09-21T12:38:00,69.2,66.4
2026-09-21T12:39:00,69.9,66.2
2026-09-21T12:40:00,70.5,67.0
2026-09-21T12:41:00,70.3,66.8
2026-09-21T12:42:00,71.2,65.5
2026-09-21T12:43:00,70.7,65.0
2026-09-21T12:44:00,71.0,65.2
2026-09-21T12:45:00,71.2,66.0
2026-09-21T12:46:00,69.9,64.0
2026-09-21T12:47:00,69.2,65.6
2026-09-21T12:48:00,70.8,65.1
2026-09-21T12:49:00,70.4,64.1
2026-09-21T12:50:00,68.7,64.1
2026-09-21T12:51:00,69.3,64.3
2026-09-21T12:52:00,70.1,63.6
2026-09-21T12:53:00,69.2,65.8
2026-09-21T12:54:00,70.6,63.3
2026-09-21T12:55:00,69.7,65.2
2026-09-21T12:56:00,69.7,63.8
2026-09-21T12:57:00,69.8,66.6
2026-09-21T12:58:00,70.3,65.8
2026-09-21T12:59:00,71.1,66.1
2026-09-21T13:00:00,69.6,63.0
2026-09-21T13:01:00,69.6,66.0
2026-09-21T13:02:00,71.1,66.8
2026-09-21T13:03:00,69.8,66.0
2026-09-21T13:04:00,70.1,65.4
2026-09-21T13:05:00,69.2,63.9
2026-09-21T13:06:00,69.8,63.1
2026-09-21T13:07:00,69.5,65.7
2026-09-21T13:08:00,69.7,63.7
2026-09-21T13:09:00,69.9,63.5
2026-09-21T13:10:00,70.4,63.1
2026-09-21T13:11:00,69.7,65.3
2026-09-21T13:12:00,68.6,65.6
2026-09-21T13:13:00,68.9,64.8
2026-09-21T13:14:00,68.7,64.5
2026-09-21T13:15:00,69.1,64.3
2026-09-21T13:16:00,70.8,64.5
2026-09-21T13:17:00,70.8,66.3
2026-09-21T13:18:00,69.3,63.3
2026-09-21T13:19:00,68.6,65.2
2026-09-21T13:20:00,71.5,64.4
2026-09-21T13:21:00,70.5,66.1
2026-09-21T13:22:00,70.5,66.0
2026-09-21T13:23:00,71.3,63.8
2026-09-21T13:24:00,68.6,63.6
2026-09-21T13:25:00,68.9,65.7
2026-09-21T13:26:00,70.2,63.9
2026-09-21T13:27:00,70.6,66.1
2026-09-21T13:28:00,69.0,65.4
2026-09-21T13:29:00,70.7,63.5
2026-09-21T13:30:00,71.0,66.9
2026-09-21T13:31:00,68.8,63.1
2026-09-21T13:32:00,69.4,65.7
2026-09-21T13:33:00,71.4,64.6
2026-09-21T13:34:00,70.6,63.3
2026-09-21T13:35:00,70.6,65.5
2026-09-21T13:36:00,68.8,66.1
2026-09-21T13:37:00,71.1,65.4
2026-09-21T13:38:00,68.9,66.9
2026-09-21T13:39:00,70.8,64.4
2026-09-21T13:40:00,69.8,64.5
2026-09-21T13:41:00,70.0,64.4
2026-09-21T13:42:00,71.0,66.3
2026-09-21T13:43:00,68.8,66.8
2026-09-21T13:44:00,70.4,66.3
2026-09-21T13:45:00,70.6,64.7
2026-09-21T13:46:00,70.7,66.9
2026-09-21T13:47:00,69.3,66.2
2026-09-21T13:48:00,70.1,64.9
2026-09-21T13:49:00,69.8,65.9
2026-09-21T13:50:00,69.3,66.4
2026-09-21T13:51:00,71.0,63.3
2026-09-21T13:52:00,71.1,64.0
2026-09-21T13:53:00,69.9,65.4
2026-09-21T13:54:00,69.6,63.1
2026-09-21T13:55:00,71.1,63.7
2026-09-21T13:56:00,69.1,66.2
2026-09-21T13:57:00,69.5,66.5
2026-09-21T13:58:00,70.6,64.1
2026-09-21T13:59:00,68.5,66.8
2026-09-21T14:00:00,68.8,65.9
2026-09-21T14:01:00,70.0,66.0
2026-09-21T14:02:00,70.6,65.6
2026-09-21T14:03:00,70.0,66.2
2026-09-21T14:04:00,68.8,63.9
2026-09-21T14:05:00,70.6,64.2
2026-09-21T14:06:00,70.2,64.9
2026-09-21T14:07:00,70.1,64.7
2026-09-21T14:08:00,70.7,64.3
2026-09-21T14:09:00,70.6,64.1
2026-09-21T14:10:00,69.3,63.5
2026-09-21T14:11:00,69.1,63.5
2026-09-21T14:12:00,70.1,66.0
2026-09-21T14:13:00,69.1,63.9
2026-09-21T14:14:00,70.0,65.9
2026-09-21T14:15:00,71.4,65.1
2026-09-21T14:16:00,69.3,63.4
2026-09-21T14:17:00,69.1,63.9
2026-09-21T14:18:00,69.0,63.1
2026-09-21T14:19:00,70.1,64.1
2026-09-21T14:20:00,71.4,65.2
2026-09-21T14:21:00,70.6,63.5
2026-09-21T14:22:00,71.1,65.0
2026-09-21T14:23:00,71.1,65.3
2026-09-21T14:24:00,69.9,64.8
2026-09-21T14:25:00,69.1,63.2
2026-09-21T14:26:00,71.3,64.9
2026-09-21T14:27:00,71.0,64.6
2026-09-21T14:28:00,68.7,65.5
2026-09-21T14:29:00,68.7,63.6
2026-09-21T14:30:00,70.2,64.2
2026-09-21T14:31:00,71.5,63.5
2026-09-21T14:32:00,70.8,65.4
2026-09-21T14:33:00,70.9,63.9
2026-09-21T14:34:00,70.1,64.8
2026-09-21T14:35:00,69.8,66.4
2026-09-21T14:36:00,71.5,64.2
2026-09-21T14:37:00,70.4,65.4
2026-09-21T14:38:00,70.7,66.8
2026-09-21T14:39:00,69.1,63.8
2026-09-21T14:40:00,70.5,63.6
2026-09-21T14:41:00,69.0,63.3
2026-09-21T14:42:00,68.5,64.8
2026-09-21T14:43:00,70.3,64.2
2026-09-21T14:44:00,69.2,65.8
2026-09-21T14:45:00,70.6,64.8
2026-09-21T14:46:00,70.6,66.7
2026-09-21T14:47:00,70.9,65.5
2026-09-21T14:48:00,70.5,66.7
2026-09-21T14:49:00,69.8,65.2
2026-09-21T14:50:00,70.4,66.6
2026-09-21T14:51:00,71.0,63.3
2026-09-21T14:52:00,69.0,64.2
2026-09-21T14:53:00,70.7,65.3
2026-09-21T14:54:00,69.4,63.5
2026-09-21T14:55:00,70.6,65.8
2026-09-21T14:56:00,71.3,65.0
2026-09-21T14:57:00,70.0,63.3
2026-09-21T14:58:00,68.6,64.7
2026-09-21T14:59:00,69.5,64.0
2026-09-21T15:00:00,68.8,66.8
2026-09-21T15:01:00,71.0,65.3
2026-09-21T15:02:00,71.4,67.0
2026-09-21T15:03:00,70.5,64.1
2026-09-21T15:04:00,68.6,66.0
2026-09-21T15:05:00,69.9,65.6
2026-09-21T15:06:00,71.2,63.7
2026-09-21T15:07:00,70.3,65.5
2026-09-21T15:08:00,70.0,63.4
2026-09-21T15:09:00,69.5,64.3
2026-09-21T15:10:00,70.5,66.4
2026-09-21T15:11:00,69.5,65.8
2026-09-21T15:12:00,69.4,66.8
2026-09-21T15:13:00,70.9,65.2
2026-09-21T15:14:00,69.9,64.3
2026-09-21T15:15:00,69.5,66.9
2026-09-21T15:16:00,69.7,65.1
2026-09-21T15:17:00,71.5,65.6
2026-09-21T15:18:00,70.1,64.7
2026-09-21T15:19:00,69.1,64.4
2026-09-21T15:20:00,70.8,65.5
2026-09-21T15:21:00,70.8,63.8
2026-09-21T15:22:00,70.1,66.7
2026-09-21T15:23:00,69.8,65.8
2026-09-21T15:24:00,68.9,66.9
2026-09-21T15:25:00,70.3,64.0
2026-09-21T15:26:00,69.0,65.2
2026-09-21T15:27:00,70.2,63.4
2026-09-21T15:28:00,71.5,66.7
2026-09-21T15:29:00,69.9,63.5
2026-09-21T15:30:00,71.0,65.0
2026-09-21T15:31:00,70.6,65.0
2026-09-21T15:32:00,69.3,66.3
2026-09-21T15:33:00,71.4,64.0
2026-09-21T15:34:00,70.2,64.5
2026-09-21T15:35:00,71.3,65.0
2026-09-21T15:36:00,71.1,66.5
2026-09-21T15:37:00,69.3,66.2
2026-09-21T15:38:00,69.7,66.7
2026-09-21T15:39:00,70.0,66.3
2026-09-21T15:40:00,69.3,64.2
2026-09-21T15:41:00,70.3,67.0
2026-09-21T15:42:00,70.0,63.6
2026-09-21T15:43:00,70.1,64.4
2026-09-21T15:44:00,70.2,65.2
2026-09-21T15:45:00,69.9,64.3
2026-09-21T15:46:00,69.1,65.8
2026-09-21T15:47:00,70.2,63.9
2026-09-21T15:48:00,70.8,63.2
2026-09-21T15:49:00,70.7,65.8
2026-09-21T15:50:00,70.9,64.5
2026-09-21T15:51:00,70.5,66.3
2026-09-21T15:52:00,71.4,65.0
2026-09-21T15:53:00,68.6,65.0
2026-09-21T15:54:00,70.3,66.5
2026-09-21T15:55:00,71.1,64.8
2026-09-21T15:56:00,70.1,64.8
2026-09-21T15:57:00,70.7,64.6
2026-09-21T15:58:00,70.5,63.6
2026-09-21T15:59:00,69.9,66.9
2026-09-21T16:00:00,69.5,65.8
2026-09-21T16:01:00,70.4,66.4
2026-09-21T16:02:00,71.1,66.4
2026-09-21T16:03:00,69.6,64.3
2026-09-21T16:04:00,70.7,66.0
2026-09-21T16:05:00,71.1,63.1
2026-09-21T16:06:00,68.7,65.5
2026-09-21T16:07:00,71.3,67.0
2026-09-21T16:08:00,70.7,64.7
2026-09-21T16:09:00,68.8,65.5
2026-09-21T16:10:00,71.1,64.8
2026-09-21T16:11:00,70.6,66.6
2026-09-21T16:12:00,68.6,66.2
2026-09-21T16:13:00,69.4,64.5
2026-09-21T16:14:00,68.9,65.1
2026-09-21T16:15:00,70.2,66.2
2026-09-21T16:16:00,69.0,63.3
2026-09-21T16:17:00,71.1,65.5
2026-09-21T16:18:00,69.2,66.7
2026-09-21T16:19:00,68.9,64.8
2026-09-21T16:20:00,69.3,64.0
2026-09-21T16:21:00,68.5,66.2
2026-09-21T16:22:00,71.2,65.7
2026-09-21T16:23:00,69.0,64.8
2026-09-21T16:24:00,69.5,65.4
2026-09-21T16:25:00,70.4,64.7
2026-09-21T16:26:00,69.3,66.4
2026-09-21T16:27:00,69.1,64.5
2026-09-21T16:28:00,69.9,63.9
2026-09-21T16:29:00,70.2,65.3
2026-09-21T16:30:00,71.5,64.2
2026-09-21T16:31:00,71.4,65.6
2026-09-21T16:32:00,69.3,65.3
2026-09-21T16:33:00,70.6,66.0
2026-09-21T16:34:00,68.6,65.4
2026-09-21T16:35:00,70.0,66.6
2026-09-21T16:36:00,69.4,66.2
2026-09-21T16:37:00,70.3,64.4
2026-09-21T16:38:00,70.4,65.5
2026-09-21T16:39:00,70.5,65.9
2026-09-21T16:40:00,70.5,66.4
2026-09-21T16:41:00,70.4,66.6
2026-09-21T16:42:00,70.4,64.2
2026-09-21T16:43:00,69.8,65.3
2026-09-21T16:44:00,70.7,63.4
2026-09-21T16:45:00,69.4,66.0
2026-09-21T16:46:00,69.0,63.5
2026-09-21T16:47:00,70.1,66.9
2026-09-21T16:48:00,70.1,66.7
2026-09-21T16:49:00,71.0,64.0
2026-09-21T16:50:00,71.0,64.9
2026-09-21T16:51:00,70.9,66.0
2026-09-21T16:52:00,69.5,63.5
2026-09-21T16:53:00,71.4,63.6
2026-09-21T16:54:00,71.4,66.4
2026-09-21T16:55:00,70.7,66.9
2026-09-21T16:56:00,71.4,66.2
2026-09-21T16:57:00,69.6,66.2
2026-09-21T16:58:00,68.5,65.1
2026-09-21T16:59:00,69.9,65.7
2026-09-21T17:00:00,70.5,65.3
